,Date,Outward,Return
151,2020-06-14 00:00:00,50152,30321
152,2020-06-15 00:00:00,35189,27632
153,2020-06-16 00:00:00,29016,29128
154,2020-06-17 00:00:00,32279,27632
155,2020-06-18 00:00:00,31989,25958
156,2020-06-19 00:00:00,27699,29274
157,2020-06-20 00:00:00,30155,31780
158,2020-06-21 00:00:00,33977,28082
159,2020-06-22 00:00:00,26810,29470
160,2020-06-23 00:00:00,30568,27513
161,2020-06-24 00:00:00,35270,31706
162,2020-06-25 00:00:00,32279,28784
163,2020-06-26 00:00:00,26916,29867
164,2020-06-27 00:00:00,30273,25666
165,2020-06-28 00:00:00,26182,27224
166,2020-06-29 00:00:00,61213,36116
167,2020-06-30 00:00:00,37509,26004
168,2020-07-01 00:00:00,27953,32638
169,2020-07-02 00:00:00,31281,27224
170,2020-07-03 00:00:00,28279,34128
171,2020-07-04 00:00:00,37918,31364
172,2020-07-05 00:00:00,37365,27224
173,2020-07-06 00:00:00,25462,31774
174,2020-07-07 00:00:00,34765,27893
175,2020-07-08 00:00:00,31243,29139
176,2020-07-09 00:00:00,31244,27536
177,2020-07-10 00:00:00,35940,29357
178,2020-07-11 00:00:00,34808,38707
179,2020-07-12 00:00:00,31989,29489
180,2020-07-13 00:00:00,34422,27632
181,2020-07-14 00:00:00,41275,27502
182,2020-07-15 00:00:00,39753,29084
183,2020-07-16 00:00:00,29251,27224
184,2020-07-17 00:00:00,26681,29479
185,2020-07-18 00:00:00,35165,28233
186,2020-07-19 00:00:00,35548,30218
187,2020-07-20 00:00:00,28285,28867
188,2020-07-21 00:00:00,30749,26004
189,2020-07-22 00:00:00,37507,27566
190,2020-07-23 00:00:00,26730,28797
191,2020-07-24 00:00:00,26595,32425
192,2020-07-25 00:00:00,31722,29470
193,2020-07-26 00:00:00,37391,29415
194,2020-07-27 00:00:00,27609,34109
195,2020-07-28 00:00:00,28340,28349
196,2020-07-29 00:00:00,26595,28666
197,2020-07-30 00:00:00,31244,28826
198,2020-07-31 00:00:00,29430,30178
199,2020-08-01 00:00:00,33346,30368
200,2020-08-02 00:00:00,33977,30214
201,2020-08-03 00:00:00,34864,29550
202,2020-08-04 00:00:00,33760,49465
203,2020-08-05 00:00:00,33478,29479
204,2020-08-06 00:00:00,33232,30864
205,2020-08-07 00:00:00,60773,29415
206,2020-08-08 00:00:00,41312,29470
207,2020-08-09 00:00:00,66524,41796
208,2020-08-10 00:00:00,39496,29276
209,2020-08-11 00:00:00,37248,28369
210,2020-08-12 00:00:00,35654,29692
211,2020-08-13 00:00:00,51486,28688
212,2020-08-14 00:00:00,36893,49748
213,2020-08-15 00:00:00,56958,54225
214,2020-08-16 00:00:00,272953,30203
215,2020-08-17 00:00:00,29080,
216,2020-08-18 00:00:00,46982,
217,2020-08-19 00:00:00,57094,26004
218,2020-08-20 00:00:00,29845,
219,2020-08-21 00:00:00,43330,
220,2020-08-22 00:00:00,53244,
221,2020-08-23 00:00:00,31722,
222,2020-08-24 00:00:00,28493,
223,2020-08-25 00:00:00,30451,
224,2020-08-26 00:00:00,29240,29669
225,2020-08-27 00:00:00,26681,
226,2020-08-28 00:00:00,53701,
227,2020-08-29 00:00:00,31243,
228,2020-08-30 00:00:00,37592,
229,2020-08-31 00:00:00,25946,
230,2020-09-01 00:00:00,26645,
231,2020-09-02 00:00:00,31121,
232,2020-09-03 00:00:00,33819,
233,2020-09-04 00:00:00,37386,
234,2020-09-05 00:00:00,43387,
235,2020-09-06 00:00:00,30096,
236,2020-09-07 00:00:00,26045,
237,2020-09-08 00:00:00,26751,
238,2020-09-09 00:00:00,34670,
239,2020-09-10 00:00:00,29861,
240,2020-09-11 00:00:00,272988,
241,2020-09-12 00:00:00,43387,
242,2020-09-13 00:00:00,31989,
243,2020-09-14 00:00:00,32279,
244,2020-09-15 00:00:00,30568,
245,2020-09-16 00:00:00,31012,
246,2020-09-17 00:00:00,26660,
247,2020-09-18 00:00:00,31562,
248,2020-09-19 00:00:00,30001,
249,2020-09-20 00:00:00,31989,
250,2020-09-21 00:00:00,28466,
251,2020-09-22 00:00:00,26616,
252,2020-09-23 00:00:00,34524,
253,2020-09-24 00:00:00,61213,
254,2020-09-25 00:00:00,30137,
255,2020-09-26 00:00:00,31090,
256,2020-09-27 00:00:00,33977,
257,2020-09-28 00:00:00,30568,
258,2020-09-29 00:00:00,26765,
259,2020-09-30 00:00:00,51154,
260,2020-10-01 00:00:00,30096,32403
261,2020-10-02 00:00:00,31989,30540
262,2020-10-03 00:00:00,36303,30351
263,2020-10-04 00:00:00,31885,30351
264,2020-10-05 00:00:00,34315,29523
265,2020-10-06 00:00:00,272988,29479
266,2020-10-07 00:00:00,49734,29479
267,2020-10-08 00:00:00,30065,29134
268,2020-10-09 00:00:00,27496,29489
269,2020-10-10 00:00:00,41325,32871
270,2020-10-11 00:00:00,99480,29479
271,2020-10-12 00:00:00,46710,65274
272,2020-10-13 00:00:00,34086,49453
273,2020-10-14 00:00:00,34216,27561
274,2020-10-15 00:00:00,61213,29090
275,2020-10-16 00:00:00,61213,41091
276,2020-10-17 00:00:00,43387,34674
277,2020-10-18 00:00:00,35758,41119
278,2020-10-19 00:00:00,34216,29128
279,2020-10-20 00:00:00,33930,65274
280,2020-10-21 00:00:00,35458,30788
281,2020-10-22 00:00:00,276483,27664
282,2020-10-23 00:00:00,29313,29420
283,2020-10-24 00:00:00,30203,30351
284,2020-10-25 00:00:00,50445,31691
285,2020-10-26 00:00:00,31832,28173
286,2020-10-27 00:00:00,34216,49453
287,2020-10-28 00:00:00,29744,30178
288,2020-10-29 00:00:00,29744,30351
289,2020-10-30 00:00:00,31722,32714
290,2020-10-31 00:00:00,30254,30273
291,2020-11-01 00:00:00,42905,29333
292,2020-11-02 00:00:00,34315,29489
293,2020-11-03 00:00:00,33592,30351
294,2020-11-04 00:00:00,32008,31724
295,2020-11-05 00:00:00,32008,29369
296,2020-11-06 00:00:00,33401,51143
297,2020-11-07 00:00:00,34216,54199
298,2020-11-08 00:00:00,50152,29470
299,2020-11-09 00:00:00,61871,30330
300,2020-11-10 00:00:00,34670,29337
301,2020-11-11 00:00:00,30176,29453
302,2020-11-12 00:00:00,34962,29489
303,2020-11-13 00:00:00,34785,29415
304,2020-11-14 00:00:00,34216,29470
305,2020-11-15 00:00:00,34216,31885
306,2020-11-16 00:00:00,46710,29489
307,2020-11-17 00:00:00,37671,29431
308,2020-11-18 00:00:00,50295,29508
309,2020-11-19 00:00:00,34785,29479
310,2020-11-20 00:00:00,30056,29479
