,Date,Outward,Return
151,2020-06-14 00:00:00,270161,58787
152,2020-06-15 00:00:00,39770,
153,2020-06-16 00:00:00,37232,56612
154,2020-06-17 00:00:00,31561,61631
155,2020-06-18 00:00:00,30910,58787
156,2020-06-19 00:00:00,29610,62792
157,2020-06-20 00:00:00,37257,60759
158,2020-06-21 00:00:00,36139,60500
159,2020-06-22 00:00:00,94751,26417
160,2020-06-23 00:00:00,23664,28691
161,2020-06-24 00:00:00,94862,27397
162,2020-06-25 00:00:00,118307,56129
163,2020-06-26 00:00:00,29917,56612
164,2020-06-27 00:00:00,33272,56612
165,2020-06-28 00:00:00,33830,56998
166,2020-06-29 00:00:00,33243,43790
167,2020-06-30 00:00:00,94664,30992
168,2020-07-01 00:00:00,95461,60760
169,2020-07-02 00:00:00,34120,30992
170,2020-07-03 00:00:00,93023,30121
171,2020-07-04 00:00:00,95171,58676
172,2020-07-05 00:00:00,95171,55438
173,2020-07-06 00:00:00,274054,34368
174,2020-07-07 00:00:00,274054,27714
175,2020-07-08 00:00:00,40711,27368
176,2020-07-09 00:00:00,274279,28981
177,2020-07-10 00:00:00,37586,
178,2020-07-11 00:00:00,124964,30237
179,2020-07-12 00:00:00,124964,33051
180,2020-07-13 00:00:00,37321,29000
181,2020-07-14 00:00:00,34139,56194
182,2020-07-15 00:00:00,97043,87186
183,2020-07-16 00:00:00,271769,30127
184,2020-07-17 00:00:00,33136,31856
185,2020-07-18 00:00:00,96803,30148
186,2020-07-19 00:00:00,125313,29611
187,2020-07-20 00:00:00,98200,31856
188,2020-07-21 00:00:00,37272,
189,2020-07-22 00:00:00,97152,28308
190,2020-07-23 00:00:00,97466,30592
191,2020-07-24 00:00:00,96723,63456
192,2020-07-25 00:00:00,30408,29899
193,2020-07-26 00:00:00,94862,56329
194,2020-07-27 00:00:00,29719,41738
195,2020-07-28 00:00:00,,40962
196,2020-07-29 00:00:00,29977,62792
197,2020-07-30 00:00:00,32575,30511
198,2020-07-31 00:00:00,93120,35243
199,2020-08-01 00:00:00,93196,58787
200,2020-08-02 00:00:00,50030,30907
201,2020-08-03 00:00:00,94642,64187
202,2020-08-04 00:00:00,43619,27368
203,2020-08-05 00:00:00,273054,31122
204,2020-08-06 00:00:00,94667,89900
205,2020-08-07 00:00:00,83868,49154
206,2020-08-08 00:00:00,33322,35939
207,2020-08-09 00:00:00,272418,30980
208,2020-08-10 00:00:00,43620,36180
209,2020-08-11 00:00:00,125203,62792
210,2020-08-12 00:00:00,43361,58697
211,2020-08-13 00:00:00,50811,41043
212,2020-08-14 00:00:00,38110,30635
213,2020-08-15 00:00:00,96728,32432
214,2020-08-16 00:00:00,97231,41043
215,2020-08-17 00:00:00,61542,31856
216,2020-08-18 00:00:00,83823,65601
217,2020-08-19 00:00:00,47600,30686
218,2020-08-20 00:00:00,30581,58787
219,2020-08-21 00:00:00,31303,35734
220,2020-08-22 00:00:00,,32432
